Data_Collection_Start_Date,Data_Collection_End_Date,Data_Collection_Midpoint_date,Data_Collection_Midpoint_MMWR_Year,Data_Collection_Midpoint_MMWR_Week,Data_Collection_Midpoint_MMWR_Day,Data_Collection_Midpoint_MMWRWeek_Display_Order,Month_Abbrev,Month_Sort_Order,Data_Source,Suppressed,Race_Ethnicity,Age_Group,Point_Estimate,CI_HalfWidth,CI_Lower,CI_Upper,Sample_Size
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,true,"Black, Non-Hispanic",65+,,,,,<30
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,false,"White, Non-Hispanic",All Adults (18+),56.9,3.8,53.1,53.1,724
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,false,"White, Non-Hispanic",18-49,43.8,5.8,38,38,311
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,false,"White, Non-Hispanic",50-64,57.7,6.8,50.9,50.9,221
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,false,"White, Non-Hispanic",65+,80.5,5.7,74.8,74.8,192
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,false,Overall,All Adults (18+),53.2,3.9,49.3,49.3,996
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,false,Overall,18-49,41.2,5.8,35.4,35.4,479
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,false,Overall,50-64,53.5,7.8,45.7,45.7,259
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,false,Overall,65+,81.6,5.2,76.4,76.4,258
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,false,"Other, Non-Hispanic",All Adults (18+),40.4,17.9,22.5,22.5,66
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,true,"Other, Non-Hispanic",18-49,,,,,44
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,true,"Other, Non-Hispanic",50-64,,,,,<30
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,true,"Other, Non-Hispanic",65+,,,,,<30
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,false,Hispanic,All Adults (18+),53.8,9,44.8,44.8,167
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,false,Hispanic,18-49,48.1,10,38.1,38.1,108
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,false,Hispanic,50-64,50.8,26.3,24.5,24.5,30
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,true,Hispanic,65+,,,,,<30
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,false,"Black, Non-Hispanic",All Adults (18+),37.6,10.8,26.8,26.8,134
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,false,"Black, Non-Hispanic",18-49,20.6,11.5,9.1,9.1,68
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,false,"Black, Non-Hispanic",50-64,45.3,20.3,25,25,37
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,true,"Black, Non-Hispanic",65+,,,,,<30
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,false,"White, Non-Hispanic",All Adults (18+),57.5,4.5,53,53,629
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,false,"White, Non-Hispanic",18-49,45.1,7.9,37.2,37.2,259
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,false,"White, Non-Hispanic",50-64,56.4,9.1,47.3,47.3,181
01/14/2021 12:00:00 AM,01/19/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021,2,7,16,Jan,2,NORC Amerispeak,false,"White, Non-Hispanic",65+,80.6,6.1,74.5,74.5,189
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,false,Overall,All Adults (18+),55,3.5,51.5,51.5,1006
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,false,Overall,18-49,42.6,5.4,37.2,37.2,397
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,false,Overall,50-64,59.7,5.8,53.9,53.9,327
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,false,Overall,65+,80.1,4.9,75.2,75.2,282
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,false,"White, Non-Hispanic",All Adults (18+),57.6,3.9,53.7,53.7,730
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,false,"White, Non-Hispanic",18-49,42.1,6.2,35.9,35.9,257
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,false,"White, Non-Hispanic",50-64,61.2,6.4,54.8,54.8,242
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,false,"White, Non-Hispanic",65+,82.4,5,77.4,77.4,231
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,false,"Black, Non-Hispanic",All Adults (18+),40.9,10.4,30.5,30.5,97
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,false,"Black, Non-Hispanic",18-49,29.6,14.1,15.5,15.5,45
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,false,"Black, Non-Hispanic",50-64,47.4,18.2,29.2,29.2,31
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,true,"Black, Non-Hispanic",65+,,,,,<30
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,false,Hispanic,All Adults (18+),49.1,10.2,38.9,38.9,101
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,false,Hispanic,18-49,43,13.6,29.4,29.4,54
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,true,Hispanic,50-64,,,,,<30
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,true,Hispanic,65+,,,,,<30
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,false,"Other, Non-Hispanic",All Adults (18+),58.1,12,46.1,46.1,78
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,false,"Other, Non-Hispanic",18-49,52.2,16.3,35.9,35.9,41
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,true,"Other, Non-Hispanic",50-64,,,,,<30
01/22/2021 12:00:00 AM,01/29/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021,3,7,17,Jan,2,IPSOS KP,true,"Other, Non-Hispanic",65+,,,,,<30
01/28/2021 12:00:00 AM,02/01/2021 12:00:00 AM,01/29/2021 12:00:00 AM,2021,4,6,18,Jan,2,NORC Amerispeak,false,Overall,All Adults (18+),54,4.7,49.3,49.3,985
01/28/2021 12:00:00 AM,02/01/2021 12:00:00 AM,01/29/2021 12:00:00 AM,2021,4,6,18,Jan,2,NORC Amerispeak,false,Overall,18-49,44.6,7.3,37.3,37.3,492
01/28/2021 12:00:00 AM,02/01/2021 12:00:00 AM,01/29/2021 12:00:00 AM,2021,4,6,18,Jan,2,NORC Amerispeak,false,Overall,50-64,55.7,6.8,48.9,48.9,273
