Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week Ending Date,Sex,Age Group,Total Deaths
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,65-69 years,3339
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,70-74 years,3894
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,75-79 years,3893
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,80-84 years,4195
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,85 years and over,8525
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,All Ages,33841
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,Unknown,1
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,0 years,417
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,1-4 years,85
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,10-14 years,52
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,15-19 years,212
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,20-24 years,374
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,25-29 years,525
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,30-34 years,611
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,35-39 years,693
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,40-44 years,832
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,45-49 years,1339
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,5-9 years,56
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,50-54 years,2074
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,55-59 years,3509
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,60-64 years,4607
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,65-69 years,5553
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,70-74 years,6535
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,75-79 years,7254
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,80-84 years,8260
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,85 years and over,21662
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,All Ages,64654
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,All Sexes,Unknown,4
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,0 years,191
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,1-4 years,39
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,10-14 years,22
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,15-19 years,74
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,20-24 years,94
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,25-29 years,144
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,30-34 years,217
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,35-39 years,260
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,40-44 years,324
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,45-49 years,508
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,5-9 years,26
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,50-54 years,813
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,55-59 years,1334
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,60-64 years,1827
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,65-69 years,2353
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,70-74 years,2881
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,75-79 years,3376
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,80-84 years,4146
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,85 years and over,13575
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,All Ages,32204
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,F,Unknown,0
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,0 years,226
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,1-4 years,46
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,10-14 years,30
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,15-19 years,138
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,20-24 years,280
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,25-29 years,381
